===== sábado,  7 de febrero de 2026, 12:36:16 CST =====
>>> Ejecutando programa Python...
Numero	Binario	Hexadecimal
63	111111	3F
28	11100	1C
94	1011110	5E
3	11	3
56	111000	38
77	1001101	4D
12	1100	C
35	100011	23
68	1000100	44
91	1011011	5B
24	11000	18
50	110010	32
81	1010001	51
9	1001	9
100	1100100	64
17	10001	11
39	100111	27
60	111100	3C
2	10	2
73	1001001	49
46	101110	2E
87	1010111	57
21	10101	15
58	111010	3A
96	1100000	60
11	1011	B
70	1000110	46
33	100001	21
84	1010100	54
5	101	5
65	1000001	41
98	1100010	62
27	11011	1B
49	110001	31
76	1001100	4C
19	10011	13
90	1011010	5A
14	1110	E
55	110111	37
82	1010010	52
8	1000	8
41	101001	29
97	1100001	61
26	11010	1A
62	111110	3E
30	11110	1E
86	1010110	56
1	1	1
52	110100	34
74	1001010	4A
23	10111	17
66	1000010	42
95	1011111	5F
10	1010	A
48	110000	30
79	1001111	4F
34	100010	22
88	1011000	58
16	10000	10
57	111001	39
92	1011100	5C
4	100	4
69	1000101	45
29	11101	1D
99	1100011	63
20	10100	14
45	101101	2D
80	1010000	50
13	1101	D
53	110101	35
71	1000111	47
25	11001	19
59	111011	3B
85	1010101	55
6	110	6
67	1000011	43
93	1011101	5D
31	11111	1F
54	110110	36
75	1001011	4B
18	10010	12
64	1000000	40
83	1010011	53
22	10110	16
47	101111	2F
78	1001110	4E
36	100100	24
61	111101	3D
72	1001000	48
32	100000	20
44	101100	2C
40	101000	28
37	100101	25
43	101011	2B
51	110011	33
Error (linea 100): dato invalido -> -- pa' que truene --
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
Tiempo transcurrido (s): 0.000465

>>> Ejecutando pylint...
************* Module convertNumbers
convertNumbers.py:147:0: C0304: Final newline missing (missing-final-newline)
convertNumbers.py:1:0: C0103: Module name "convertNumbers" doesn't conform to snake_case naming style (invalid-name)
convertNumbers.py:1:0: F0002: convertNumbers.py: Fatal error while checking 'convertNumbers.py'. Please open an issue in our bug tracker so we address this. There is a pre-filled template that you can use in '/Users/carlosisaacsagrerocampos/Library/Caches/pylint/pylint-crash-2026-02-07-12-38-00.txt'. (astroid-error)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 0.00/10, +0.00)

===== sábado,  7 de febrero de 2026, 12:38:17 CST =====
>>> Ejecutando programa Python...
Numero	Binario	Hexadecimal
42	101010	2A
7	111	7
89	1011001	59
15	1111	F
63	111111	3F
28	11100	1C
94	1011110	5E
3	11	3
56	111000	38
77	1001101	4D
12	1100	C
35	100011	23
68	1000100	44
91	1011011	5B
24	11000	18
50	110010	32
81	1010001	51
9	1001	9
100	1100100	64
17	10001	11
39	100111	27
60	111100	3C
2	10	2
73	1001001	49
46	101110	2E
87	1010111	57
21	10101	15
58	111010	3A
96	1100000	60
11	1011	B
70	1000110	46
33	100001	21
84	1010100	54
5	101	5
65	1000001	41
98	1100010	62
27	11011	1B
49	110001	31
76	1001100	4C
19	10011	13
90	1011010	5A
14	1110	E
55	110111	37
82	1010010	52
8	1000	8
41	101001	29
97	1100001	61
26	11010	1A
62	111110	3E
30	11110	1E
86	1010110	56
1	1	1
52	110100	34
74	1001010	4A
23	10111	17
66	1000010	42
95	1011111	5F
10	1010	A
48	110000	30
79	1001111	4F
34	100010	22
88	1011000	58
16	10000	10
57	111001	39
92	1011100	5C
4	100	4
69	1000101	45
29	11101	1D
99	1100011	63
20	10100	14
45	101101	2D
80	1010000	50
13	1101	D
53	110101	35
71	1000111	47
25	11001	19
59	111011	3B
85	1010101	55
6	110	6
67	1000011	43
93	1011101	5D
31	11111	1F
54	110110	36
75	1001011	4B
18	10010	12
64	1000000	40
83	1010011	53
22	10110	16
47	101111	2F
78	1001110	4E
36	100100	24
61	111101	3D
72	1001000	48
32	100000	20
44	101100	2C
40	101000	28
37	100101	25
43	101011	2B
51	110011	33
Error (linea 100): dato invalido -> -- pa' que truene --
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
Tiempo transcurrido (s): 0.000441

>>> Ejecutando pylint...
************* Module convertNumbers
convertNumbers.py:147:0: C0304: Final newline missing (missing-final-newline)
convertNumbers.py:1:0: C0103: Module name "convertNumbers" doesn't conform to snake_case naming style (invalid-name)
convertNumbers.py:1:0: F0002: convertNumbers.py: Fatal error while checking 'convertNumbers.py'. Please open an issue in our bug tracker so we address this. There is a pre-filled template that you can use in '/Users/carlosisaacsagrerocampos/Library/Caches/pylint/pylint-crash-2026-02-07-12-38-18.txt'. (astroid-error)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 0.00/10, +0.00)

===== sábado,  7 de febrero de 2026, 12:45:22 CST =====
>>> Ejecutando programa Python...
Numero	Binario	Hexadecimal
42	101010	2A
7	111	7
89	1011001	59
15	1111	F
63	111111	3F
28	11100	1C
94	1011110	5E
3	11	3
56	111000	38
77	1001101	4D
12	1100	C
35	100011	23
68	1000100	44
91	1011011	5B
24	11000	18
50	110010	32
81	1010001	51
9	1001	9
100	1100100	64
17	10001	11
39	100111	27
60	111100	3C
2	10	2
73	1001001	49
46	101110	2E
87	1010111	57
21	10101	15
58	111010	3A
96	1100000	60
11	1011	B
70	1000110	46
33	100001	21
84	1010100	54
5	101	5
65	1000001	41
98	1100010	62
27	11011	1B
49	110001	31
76	1001100	4C
19	10011	13
90	1011010	5A
14	1110	E
55	110111	37
82	1010010	52
8	1000	8
41	101001	29
97	1100001	61
26	11010	1A
62	111110	3E
30	11110	1E
86	1010110	56
1	1	1
52	110100	34
74	1001010	4A
23	10111	17
66	1000010	42
95	1011111	5F
10	1010	A
48	110000	30
79	1001111	4F
34	100010	22
88	1011000	58
16	10000	10
57	111001	39
92	1011100	5C
4	100	4
69	1000101	45
29	11101	1D
99	1100011	63
20	10100	14
45	101101	2D
80	1010000	50
13	1101	D
53	110101	35
71	1000111	47
25	11001	19
59	111011	3B
85	1010101	55
6	110	6
67	1000011	43
93	1011101	5D
31	11111	1F
54	110110	36
75	1001011	4B
18	10010	12
64	1000000	40
83	1010011	53
22	10110	16
47	101111	2F
78	1001110	4E
36	100100	24
61	111101	3D
72	1001000	48
32	100000	20
44	101100	2C
40	101000	28
37	100101	25
43	101011	2B
51	110011	33
Error (linea 100): dato invalido -> -- pa' que truene --
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
Tiempo transcurrido (s): 0.000745

>>> Ejecutando pylint...
************* Module convertNumbers
convertNumbers.py:138:0: C0304: Final newline missing (missing-final-newline)

------------------------------------------------------------------
Your code has been rated at 9.86/10 (previous run: 0.00/10, +9.86)

===== sábado,  7 de febrero de 2026, 12:46:16 CST =====
>>> Ejecutando programa Python...
Numero	Binario	Hexadecimal
42	101010	2A
7	111	7
89	1011001	59
15	1111	F
63	111111	3F
28	11100	1C
94	1011110	5E
3	11	3
56	111000	38
77	1001101	4D
12	1100	C
35	100011	23
68	1000100	44
91	1011011	5B
24	11000	18
50	110010	32
81	1010001	51
9	1001	9
100	1100100	64
17	10001	11
39	100111	27
60	111100	3C
2	10	2
73	1001001	49
46	101110	2E
87	1010111	57
21	10101	15
58	111010	3A
96	1100000	60
11	1011	B
70	1000110	46
33	100001	21
84	1010100	54
5	101	5
65	1000001	41
98	1100010	62
27	11011	1B
49	110001	31
76	1001100	4C
19	10011	13
90	1011010	5A
14	1110	E
55	110111	37
82	1010010	52
8	1000	8
41	101001	29
97	1100001	61
26	11010	1A
62	111110	3E
30	11110	1E
86	1010110	56
1	1	1
52	110100	34
74	1001010	4A
23	10111	17
66	1000010	42
95	1011111	5F
10	1010	A
48	110000	30
79	1001111	4F
34	100010	22
88	1011000	58
16	10000	10
57	111001	39
92	1011100	5C
4	100	4
69	1000101	45
29	11101	1D
99	1100011	63
20	10100	14
45	101101	2D
80	1010000	50
13	1101	D
53	110101	35
71	1000111	47
25	11001	19
59	111011	3B
85	1010101	55
6	110	6
67	1000011	43
93	1011101	5D
31	11111	1F
54	110110	36
75	1001011	4B
18	10010	12
64	1000000	40
83	1010011	53
22	10110	16
47	101111	2F
78	1001110	4E
36	100100	24
61	111101	3D
72	1001000	48
32	100000	20
44	101100	2C
40	101000	28
37	100101	25
43	101011	2B
51	110011	33
Error (linea 100): dato invalido -> -- pa' que truene --
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
Tiempo transcurrido (s): 0.000470

>>> Ejecutando pylint...

-------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 9.86/10, +0.14)

===== sábado,  7 de febrero de 2026, 12:48:11 CST =====
>>> Ejecutando programa Python...
Numero	Binario	Hexadecimal
42	101010	2A
7	111	7
89	1011001	59
15	1111	F
63	111111	3F
28	11100	1C
94	1011110	5E
3	11	3
56	111000	38
77	1001101	4D
12	1100	C
35	100011	23
68	1000100	44
91	1011011	5B
24	11000	18
50	110010	32
81	1010001	51
9	1001	9
100	1100100	64
17	10001	11
39	100111	27
60	111100	3C
2	10	2
73	1001001	49
46	101110	2E
87	1010111	57
21	10101	15
58	111010	3A
96	1100000	60
11	1011	B
70	1000110	46
33	100001	21
84	1010100	54
5	101	5
65	1000001	41
98	1100010	62
27	11011	1B
49	110001	31
76	1001100	4C
19	10011	13
90	1011010	5A
14	1110	E
55	110111	37
82	1010010	52
8	1000	8
41	101001	29
97	1100001	61
26	11010	1A
62	111110	3E
30	11110	1E
86	1010110	56
1	1	1
52	110100	34
74	1001010	4A
23	10111	17
66	1000010	42
95	1011111	5F
10	1010	A
48	110000	30
79	1001111	4F
34	100010	22
88	1011000	58
16	10000	10
57	111001	39
92	1011100	5C
4	100	4
69	1000101	45
29	11101	1D
99	1100011	63
20	10100	14
45	101101	2D
80	1010000	50
13	1101	D
53	110101	35
71	1000111	47
25	11001	19
59	111011	3B
85	1010101	55
6	110	6
67	1000011	43
93	1011101	5D
31	11111	1F
54	110110	36
75	1001011	4B
18	10010	12
64	1000000	40
83	1010011	53
22	10110	16
47	101111	2F
78	1001110	4E
36	100100	24
61	111101	3D
72	1001000	48
32	100000	20
44	101100	2C
40	101000	28
37	100101	25
43	101011	2B
51	110011	33
Error (linea 100): dato invalido -> -- pa' que truene --
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
38	100110	26
Tiempo transcurrido (s): 0.001040

>>> Ejecutando pylint...

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)

